date,title,detail_url,pdf_url,page_no,scraped_at
"Mar 05, 2026",Adjudication order in respect of Gita Devi Agarwal in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/mar-2026/adjudication-order-in-respect-of-gita-devi-agarwal-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_100130.html,https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/ORDER_1772692758.pdf,3,2026-04-18T22:56:14.560181
"Mar 05, 2026",Adjudication Order in respect of Kusum Devi Agarwal in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/mar-2026/adjudication-order-in-respect-of-kusum-devi-agarwal-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_100128.html,https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/ORDER_1772691917.pdf,3,2026-04-18T22:56:23.024459
"Mar 04, 2026",Adjudication Order in respect of Jitendra Hansraj Vithalani in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/mar-2026/adjudication-order-in-respect-of-jitendra-hansraj-vithalani-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_100122.html,https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/ORDER_1772621245.pdf,3,2026-04-18T22:56:31.048710
"Mar 02, 2026",Adjudication Order in the matter of financial mis-statements of Coffee Day Enterprises Limited,https://www.sebi.gov.in/enforcement/orders/mar-2026/adjudication-order-in-the-matter-of-financial-mis-statements-of-coffee-day-enterprises-limited_100080.html,https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/ORDER_1772430501.pdf,3,2026-04-18T22:56:38.482836
"Feb 26, 2026",Adjudication Order in respect of Tarang Stock Broking Services Private Limited in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/feb-2026/adjudication-order-in-respect-of-tarang-stock-broking-services-private-limited-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_100036.html,../../../web/?file=https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/1772167646574.pdf,3,2026-04-18T22:56:46.614429
"Feb 26, 2026",Adjudication Order in respect of Goldenmaple Commodities Private Limited in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/feb-2026/adjudication-order-in-respect-of-goldenmaple-commodities-private-limited-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_100033.html,../../../web/?file=https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/1772166248545.pdf,3,2026-04-18T22:56:54.981473
"Feb 24, 2026",Adjudication Order in respect of Ashok Kumar Gupta and Sons HUF in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/feb-2026/adjudication-order-in-respect-of-ashok-kumar-gupta-and-sons-huf-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_99943.html,https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/ORDER_1771929917.pdf,3,2026-04-18T22:57:03.438732
"Feb 24, 2026",Adjudication Order in the matter of Vishnu Prakash R Punglia Ltd,https://www.sebi.gov.in/enforcement/orders/feb-2026/adjudication-order-in-the-matter-of-vishnu-prakash-r-punglia-ltd_99931.html,../../../web/?file=https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/ORDER_1771912012.pdf,3,2026-04-18T22:57:11.670154
"Feb 23, 2026","Adjudication Order in the matter of India Knowledge Manufacturing Fund-I, a scheme of Forum Synergies India Trust",https://www.sebi.gov.in/enforcement/orders/feb-2026/adjudication-order-in-the-matter-of-india-knowledge-manufacturing-fund-i-a-scheme-of-forum-synergies-india-trust_99924.html,https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/ORDER_1771834253.pdf,3,2026-04-18T22:57:24.053119
"Feb 23, 2026",Adjudication Order in the matter of ANS Pvt. Ltd,https://www.sebi.gov.in/enforcement/orders/feb-2026/adjudication-order-in-the-matter-of-ans-pvt-ltd_99918.html,https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/ORDER_1771829790.pdf,3,2026-04-18T22:57:32.686430
"Feb 20, 2026",Adjudication Order in respect of Raman Kumar and Sons HUF in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/feb-2026/adjudication-order-in-respect-of-raman-kumar-and-sons-huf-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_99901.html,https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/ORDER_1771583912.pdf,3,2026-04-18T22:57:40.161209
"Feb 20, 2026","Adjudication Order in the matter of Chenthil R Iyer, Investment Adviser",https://www.sebi.gov.in/enforcement/orders/feb-2026/adjudication-order-in-the-matter-of-chenthil-r-iyer-investment-adviser_99895.html,https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/ORDER_1771563023.pdf,3,2026-04-18T22:57:48.996912
"Feb 18, 2026",Adjudication Order in respect of Late Alok Kumar Singhania in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/feb-2026/adjudication-order-in-respect-of-late-alok-kumar-singhania-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_99860.html,https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/ORDER_1771393815.pdf,3,2026-04-18T22:57:58.250941
"Feb 18, 2026",Adjudication Order in respect of Salween Securities Private Limited. in the matter of Illiquid Stock Options at BSE,https://www.sebi.gov.in/enforcement/orders/feb-2026/adjudication-order-in-respect-of-salween-securities-private-limited-in-the-matter-of-illiquid-stock-options-at-bse_99858.html,https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/ORDER_1771392996.pdf,3,2026-04-18T22:58:05.740739
"Feb 18, 2026",Adjudication Order in the matter of Investigation in the Financial Statements of Oriental Trimex Limited,https://www.sebi.gov.in/enforcement/orders/feb-2026/adjudication-order-in-the-matter-of-investigation-in-the-financial-statements-of-oriental-trimex-limited_99823.html,https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/ORDER_1771394103.pdf,3,2026-04-18T22:58:14.011784
"Feb 17, 2026",Adjudication Order in respect of Amit Agarwal in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/feb-2026/adjudication-order-in-respect-of-amit-agarwal-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_99820.html,https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/ORDER_1771323101.pdf,3,2026-04-18T22:58:21.342660
"Feb 17, 2026",Adjudication Order in respect of Anjali Agarwal in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/feb-2026/adjudication-order-in-respect-of-anjali-agarwal-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_99818.html,https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/ORDER_1771321263.pdf,4,2026-04-18T22:58:32.008726
"Feb 17, 2026",Adjudication Order in respect of Ramgopal Agarwal in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/feb-2026/adjudication-order-in-respect-of-ramgopal-agarwal-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_99788.html,https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/ORDER_1771301013.pdf,4,2026-04-18T22:58:39.256171
"Feb 17, 2026",Adjudication Order in respect of Rashidaben Rahimbhai Sanghi in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/feb-2026/adjudication-order-in-respect-of-rashidaben-rahimbhai-sanghi-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_99790.html,https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/ORDER_1771302136.pdf,4,2026-04-18T22:58:49.212212
"Feb 13, 2026",Adjudication Order in respect of Shilush Trading Pvt. Ltd. in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/feb-2026/adjudication-order-in-respect-of-shilush-trading-pvt-ltd-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_99762.html,https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/ORDER_1770977125.pdf,4,2026-04-18T22:58:56.883192
"Feb 12, 2026",Adjudication Order in the matter of trading activity in the scrip of ANI Integrated Services Limited,https://www.sebi.gov.in/enforcement/orders/feb-2026/adjudication-order-in-the-matter-of-trading-activity-in-the-scrip-of-ani-integrated-services-limited_99723.html,https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/ORDER_1770894925.pdf,4,2026-04-18T22:59:08.339726
"Feb 12, 2026",Adjudication Order in respect of Dinesh Manwani HUF in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/feb-2026/adjudication-order-in-respect-of-dinesh-manwani-huf-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_99717.html,https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/ORDER_1770869566.pdf,4,2026-04-18T22:59:16.914318
"Feb 12, 2026",Adjudication order in respect of Late Ms. Malti Devi in the matter of dealings in Illiquid Stock Options at BSE,https://www.sebi.gov.in/enforcement/orders/feb-2026/adjudication-order-in-respect-of-late-ms-malti-devi-in-the-matter-of-dealings-in-illiquid-stock-options-at-bse_99719.html,https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/ORDER_1770887429.pdf,4,2026-04-18T22:59:26.157067
"Feb 11, 2026",Adjudication Order in the matter of Shah Investors Home Limited,https://www.sebi.gov.in/enforcement/orders/feb-2026/adjudication-order-in-the-matter-of-shah-investors-home-limited_99698.html,https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/ORDER_1770806371.pdf,4,2026-04-18T22:59:33.852328
"Feb 10, 2026",Adjudication Order in respect of Parish Kirit Bhai Patel in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/feb-2026/adjudication-order-in-respect-of-parish-kirit-bhai-patel-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_99661.html,https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/ORDER_1770696196.pdf,4,2026-04-18T22:59:43.324965
"Feb 10, 2026",Adjudication Order in the matter of Cyquator Media Services Private Limited,https://www.sebi.gov.in/enforcement/orders/feb-2026/adjudication-order-in-the-matter-of-cyquator-media-services-private-limited_99655.html,https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/ORDER_1770715433.pdf,4,2026-04-18T22:59:54.294848
